i,time include mem,time optm1 include mem,time optm2 include mem,time,time optm1,time optm2
1,0.00072046120961507165,0.00070900387234157987,0.00070743560791015621,0.00010579824447631836,0.00010540750291612413,0.00010526180267333984
2,0.00071178542243109807,0.00070840120315551758,0.0007074901035853795,0.00010520219802856445,0.00010582804679870605,0.00010538101196289062
3,0.00071446100870768226,0.0007133185863494873,0.00071239471435546875,0.00010609626770019531,0.00010582804679870605,0.0001055300235748291
4,0.00072940190633138024,0.00071219035557338174,0.00071469942728678382,0.00010651350021362305,0.0001060622079031808,0.00010561943054199219
5,0.00073647499084472656,0.00072654088338216149,0.00072574615478515625,0.00010573863983154297,0.0001070102055867513,0.00010619163513183593
6,0.00073590874671936035,0.00073130925496419274,0.00073017392839704238,0.00010573863983154297,0.00010599408830915178,0.00010577837626139323
7,0.00074762105941772461,0.00074069840567452569,0.00073978635999891488,0.00010810958014594184,0.00010687964303152902,0.00010740756988525391
8,0.00074553489685058594,0.00073719024658203125,0.00074127742222377237,0.00010589190891810826,0.00010664122445242745,0.00010573863983154297
9,0.0010348856449127197,0.0010260939598083496,0.0010828177134195964,0.00011023879051208496,0.00011047720909118652,0.00012000401814778645
10,0.00075825055440266931,0.00074823697408040368,0.00074913766649034293,0.00010646714104546441,0.00010532803005642361,0.00010606977674696181
11,0.00076953570048014319,0.00075785319010416663,0.00075973783220563613,0.0001055598258972168,0.00010544061660766602,0.00010596381293402778
12,0.00076499581336975098,0.00075534411839076456,0.00075352191925048828,0.00010583135816786025,0.00010565916697184245,0.00010517665318080358
13,0.00078157016209193643,0.00077385372585720487,0.00076812505722045898,0.00010609626770019531,0.00010609626770019531,0.00010647092546735491
14,0.00079423189163208008,0.000778130122593471,0.00077302115304129463,0.00010630819532606337,0.00010612607002258301,0.0001056875501360212
15,0.00080112048557826456,0.00078535079956054688,0.00078657695225306924,0.00010652012295193142,0.00010606977674696181,0.00010595321655273437
16,0.00081729888916015625,0.00080511305067274301,0.00080408368791852675,0.00010623931884765626,0.00010638236999511718,0.00010639429092407227
17,0.00082501769065856934,0.0008143016270228795,0.00080518722534179683,0.00010663270950317383,0.0001068115234375,0.00010595321655273437
18,0.0010753472646077473,0.0010614924960666234,0.0010537760598318918,0.00010901027255588108,0.00010816256205240886,0.00010748704274495442
19,0.00085136625501844613,0.00083520677354600699,0.00083293233598981582,0.00010800361633300781,0.00010768572489420573,0.00010780493418375651
20,0.00087669917515345987,0.00085523393419053824,0.00084996223449707031,0.00010901689529418945,0.00010928511619567871,0.00010839104652404785
21,0.00088252340044294082,0.00086177719963921443,0.00086063146591186523,0.00010980500115288628,0.00010763274298773872,0.00010784467061360677
22,0.00090054103306361612,0.00087878439161512582,0.00087043642997741699,0.00010911623636881511,0.00010862946510314941,0.00010800361633300781
23,0.00092086195945739746,0.00088918209075927734,0.00088722365243094306,0.00010800361633300781,0.00010779168870713975,0.00010841233389718192
24,0.00095054507255554199,0.00092835426330566411,0.00092421259198869981,0.0001075608389718192,0.00010739053998674666,0.00010762214660644531
25,0.00095447897911071777,0.000919410160609654,0.00091556140354701456,0.00010848045349121094,0.00010845396253797744,0.00010865926742553711
26,0.0009631429399762835,0.00092916488647460933,0.00093102455139160156,0.00010853343539767795,0.00010853343539767795,0.00010935465494791667
27,0.0010722213321261937,0.0010648667812347412,0.0010472365788051061,0.00010914272732204861,0.00010800361633300781,0.00010776519775390625
28,0.0011143088340759277,0.0010843276977539062,0.0010786851247151692,0.00010800361633300781,0.00010800361633300781,0.00010789765252007378
29,0.0011414686838785808,0.0011113882064819336,0.0011107921600341797,0.0001087188720703125,0.00010827183723449707,0.0001075797610812717
